Event Name,Date and Time,URL
Orthopaedic Surgery: Orthopaedic Sports Medicine Conference,"Tuesday, October 22, 2024, 10/22/2024, 5:00 PM - 7:00 PM (ET)",https://calendar.buffalo.edu/site/jsmbs/event/orthopaedic-surgery-orthopaedic-sports-medicine-conference-47/
Private Swim Lessons (for Adults),"Tuesday, October 22, 2024, 10/22/2024, 5:15 PM - 5:45 PM (ET)",https://calendar.buffalo.edu/event/private-swim-lessons-for-adults-793/
SEAS DREAM Lab — Welcome to DREAM Lab and Digital Badges,"Tuesday, October 22, 2024, 10/22/2024, 5:30 PM - 6:30 PM (ET)",https://calendar.buffalo.edu/event/seas-dream-lab--welcome-to-dream-lab-and-digital-badges/
10/22 6:00 PM [W] University at Buffalo Women's Volleyball vs Akron - Block Out Cancer/Pink Game,"Tuesday, October 22, 2024, 10/22/2024, 6:00 PM (ET)",https://calendar.buffalo.edu/event/1022-university-at-buffalo-womens-volleyball-vs-akron/
Small Group Swim Lessons (Adult Intermediate),"Tuesday, October 22, 2024, 10/22/2024, 6:00 PM - 6:30 PM (ET)",https://calendar.buffalo.edu/event/small-group-swim-lessons-adult-intermediate-83/
Feeling Your Yoga: Tuesdays with Cory,"Tuesday, October 22, 2024, 10/22/2024, 6:15 PM - 7:15 PM (ET)",https://calendar.buffalo.edu/event/feeling-your-yoga-tuesdays-with-cory-17/
Private Swim Lessons (for Adults),"Tuesday, October 22, 2024, 10/22/2024, 6:45 PM - 7:15 PM (ET)",https://calendar.buffalo.edu/event/private-swim-lessons-for-adults-799/
Masterclass,"Tuesday, October 22, 2024, 10/22/2024, 7:00 PM - 8:00 PM (ET)",https://calendar.buffalo.edu/event/masterclass-17/
Open REC: Meditation,"Tuesday, October 22, 2024, 10/22/2024, 7:00 PM - 9:00 PM (ET)",https://calendar.buffalo.edu/event/open-rec-meditation-219/
Private Swim Lessons (for Adults),"Tuesday, October 22, 2024, 10/22/2024, 7:30 PM - 8:00 PM (ET)",https://calendar.buffalo.edu/event/private-swim-lessons-for-adults-805/
Special Event: Talea Ensemble,"Tuesday, October 22, 2024, 10/22/2024, 7:30 PM (ET)",https://calendar.buffalo.edu/event/special-event-talea-ensemble/
Open REC: Indoor Jogging Track,"Tuesday, October 22, 2024, 10/22/2024, 9:00 PM - 10:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-indoor-jogging-track-429/
Open REC: Basketball,"Tuesday, October 22, 2024, 10/23/2024, 6:00 AM - 8:00 AM (ET)",https://calendar.buffalo.edu/event/open-rec-basketball-966/
Open REC: Fitness Center,"Tuesday, October 22, 2024, 10/23/2024, 6:00 AM - 10:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-fitness-center-854/
Open REC: Indoor Jogging Track,"Tuesday, October 22, 2024, 10/23/2024, 6:00 AM - 10:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-indoor-jogging-track-375/
Open REC: Racquetball,"Tuesday, October 22, 2024, 10/23/2024, 6:00 AM - 10:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-racquetball-395/
Open REC: Swim,"Tuesday, October 22, 2024, 10/23/2024, 7:00 AM - 8:30 AM (ET)",https://calendar.buffalo.edu/event/open-rec-swim-1514/
Community Health Equity Research Institute's 3rd Annual Research Day,"Tuesday, October 22, 2024, 10/23/2024, 8:00 AM - 12:30 PM (ET)",https://calendar.buffalo.edu/event/community-health-equity-research-institutes-3rd-annual-research-day/
Ob/Gyn Grand Rounds: Adverse Pregnancy Outcomes: Predictors of Later Maternal Health,"Tuesday, October 22, 2024, 10/23/2024, 8:00 AM - 9:00 AM (ET)",https://calendar.buffalo.edu/site/jsmbs/event/obgyn-grand-rounds-adverse-pregnancy-outcomes-predictors-of-later--maternal-health/
Open REC: Badminton,"Tuesday, October 22, 2024, 10/23/2024, 8:00 AM - 9:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-badminton-303/
Open REC: Basketball,"Tuesday, October 22, 2024, 10/23/2024, 8:00 AM - 9:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-basketball-1059/
Open REC: Fitness Center,"Tuesday, October 22, 2024, 10/23/2024, 8:00 AM - 9:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-fitness-center-960/
Open REC: Racquetball/Squash,"Tuesday, October 22, 2024, 10/23/2024, 8:00 AM - 9:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-racquetballsquash-303/
Alberti Center Annual Conference - Current Practices for Preventing Bullying and Promoting Safety in Schools and Online,"Tuesday, October 22, 2024, 10/23/2024, 8:30 AM - 3:00 PM (ET)",https://calendar.buffalo.edu/event/alberti-center-annual-conference---current-practices-for-preventing-bullying-and-promoting-safety-in-schools-and-online/
Become a Better Communicator,"Tuesday, October 22, 2024, 10/23/2024, 9:00 AM - 1:00 PM (ET)",https://calendar.buffalo.edu/event/become-a-better-communicator-40/
CE Training: Cultural Humility and Mandated Reporting: Providing Respectful Services to Clients and Families (Live Online),"Tuesday, October 22, 2024, 10/23/2024, 9:00 AM - 12:30 PM (ET)",https://calendar.buffalo.edu/event/ce-training--cultural-humility-and-mandated-reporting-providing-respectful-services-to-clients-and-families-live-online/
Clinical and Translational Research Center: Qualitative Study Design and Data Analysis - Qualitative Data Analysis N,"Tuesday, October 22, 2024, 10/23/2024, 9:00 AM - 10:30 AM (ET)",https://calendar.buffalo.edu/site/jsmbs/event/clinical-and-translational-research-center-qualitative-study-design-and-data-analysis---qualitative-data-analysis/
"Western New York Legal Diversity Career Fair: Employer & Student Training, Recruitment & Networking Event","Wednesday, October 23, 2024, 10/23/2024, 9:30 AM - 4:30 PM (ET)",https://calendar.buffalo.edu/event/wny-diversity-career-fair-employment--student-training-recruitment--networking-event/
Pro Bono Table Days,"Wednesday, October 23, 2024, 10/23/2024, 10:00 AM - 3:00 PM (ET)",https://calendar.buffalo.edu/event/pro-bono-table-days-1/
Access to Justice Clinic: Voter Registration Tabling,"Wednesday, October 23, 2024, 10/23/2024, 11:00 AM - 4:00 PM (ET)",https://calendar.buffalo.edu/event/access-to-justice-clinic-voter-registration-tabling-2/
"CBE Seminar — Molecular Understanding, Design and Development of Zwitterionic Materials","Wednesday, October 23, 2024, 10/23/2024, 11:00 AM - 12:00 PM (ET)",https://calendar.buffalo.edu/event/molecular-understanding-design-and-development-of-zwitterionic-materials/
Chill Out,"Wednesday, October 23, 2024, 10/23/2024, 11:00 AM - 2:00 PM (ET)",https://calendar.buffalo.edu/event/chill-out-13/
Flu Clinic - South Campus,"Wednesday, October 23, 2024, 10/23/2024, 11:00 AM - 2:00 PM (ET)",https://calendar.buffalo.edu/event/flu-clinic---south-campus-6/
OSA & Law Library: Painting Pumpkins,"Wednesday, October 23, 2024, 10/23/2024, 11:00 AM - 4:00 PM (ET)",https://calendar.buffalo.edu/event/osa--law-library-painting-pumpkins/
OSA: Wellness Wednesdays: Ther-a-pups and Animals with Paws for Love/SPCA,"Wednesday, October 23, 2024, 10/23/2024, 11:00 AM - 1:00 PM (ET)",https://calendar.buffalo.edu/event/osa-wellness-wednesdays-ther-a-pups-and-animals-with-paws-for-lovespca-7/
Institute for Learning Sciences Speaker Series,"Wednesday, October 23, 2024, 10/23/2024, 12:00 PM - 1:00 PM (ET)",https://calendar.buffalo.edu/event/institute-for-learning-sciences-speaker-series-1/
Open REC: Meditation,"Wednesday, October 23, 2024, 10/23/2024, 12:00 PM - 12:30 PM (ET)",https://calendar.buffalo.edu/event/open-rec-meditation-220/
Open REC: Swim,"Wednesday, October 23, 2024, 10/23/2024, 12:00 PM - 1:30 PM (ET)",https://calendar.buffalo.edu/event/open-rec-swim-1695/
Open REC: Swim,"Wednesday, October 23, 2024, 10/23/2024, 12:00 PM - 1:30 PM (ET)",https://calendar.buffalo.edu/event/open-rec-swim-1384/
Pilates,"Wednesday, October 23, 2024, 10/23/2024, 12:00 PM - 12:45 PM (ET)",https://calendar.buffalo.edu/event/pilates-135/
UB Alumni Webinar: Democracy Trends 2024,"Wednesday, October 23, 2024, 10/23/2024, 12:00 PM - 1:00 PM (ET)",https://calendar.buffalo.edu/event/ub-alumni-webinar-democracy-trends-2024/
Work on Work (WoW) Works-In-Progress Workshop,"Wednesday, October 23, 2024, 10/23/2024, 12:00 PM - 1:00 PM (ET)",https://calendar.buffalo.edu/event/work-on-work-wow-works-in-progress-workshop-5/
Muscle Pump,"Wednesday, October 23, 2024, 10/23/2024, 12:10 PM - 12:50 PM (ET)",https://calendar.buffalo.edu/event/muscle-pump-41/
RN to BS Information Session - Virtual,"Wednesday, October 23, 2024, 10/23/2024, 1:00 PM - 2:00 PM (ET)",https://calendar.buffalo.edu/event/rn-to-bs-information-session---virtual-12/
BIPOC Drop-In Group,"Wednesday, October 23, 2024, 10/23/2024, 3:00 PM - 4:15 PM (ET)",https://calendar.buffalo.edu/event/bipoc-drop-in-group-29/
Office of Inclusion and Cultural Enhancement: Jacobs School Downtown Spotlight Open House,"Wednesday, October 23, 2024, 10/23/2024, 3:30 PM - 7:00 PM (ET)",https://calendar.buffalo.edu/site/jsmbs/event/jacobs-school-downtown-spotlight-open-house/
Being NOBULL: Putting Bystander Intervention into Action,"Wednesday, October 23, 2024, 10/23/2024, 4:00 PM - 5:30 PM (ET)",https://calendar.buffalo.edu/event/being-nobull-putting-bystander-intervention-into-action-17/
Writing Your CV for PhD Students and Postdocs,"Wednesday, October 23, 2024, 10/23/2024, 4:00 PM - 5:00 PM (ET)",https://calendar.buffalo.edu/event/writing-your-cv-for-phd-students-and-postdocs/
Labor and Employment Law Society (LELS): Labor of Love Panel Discussion,"Wednesday, October 23, 2024, 10/23/2024, 5:00 PM - 6:00 PM (ET)",https://calendar.buffalo.edu/event/labor-and-employment-law-society-lels-labor-of-love-panel-discussion/
